journal_name,num_citation
bollettino dei musei di zoologia ed anatomia comparata della reale universitxe0 di torino,40.0
bollettino del museo civico di storia naturale di verona,30.0
bollettino della societxe0 malacologica italiana,8.0
bollettino della societxe0 paleontologica italiana,51.0
bone,143.0
booklist,368.0
botanical journal of the linnean society,1157.0
botany,148.0
br heart j,81.0
br j cancer,219.0
br j haematol,173.0
br j ophthalmol,95.0
br med j,784.0
brain,1068.0
brain and language,162.0
brain res,305.0
brain res mol brain res,125.0
brain research,632.0
brain research molecular brain research,105.0
breast cancer research,107.0
briefings in bioinformatics,95.0
british birds,394.0
british journal of anaesthesia,236.0
british journal of audiology,11.0
british journal of cancer,377.0
british journal of haematology,341.0
british journal of pharmacology,781.0
british journal of social psychology,89.0
british journal of surgery,98.0
british medical journal,1724.0
broadcasting,162.0
brooklyn citizen,11.0
brooklyn daily eagle,49.0
brooklyn eagle,46.0
brooklyn times union,6.0
bull amer math soc,1270.0
bulletin de la socixe9txe9 gxe9ologique de france,93.0
bulletin de la socixe9txe9 mycologique de france,155.0
bulletin de linstitut royal des sciences naturelles de belgique entomologie,135.0
bulletin of geosciences,183.0
bulletin of the akiyoshidai museum of natural history,14.0
bulletin of the american astronomical society,179.0
bulletin of the american mathematical society,510.0
bulletin of the american meteorological society,406.0
bulletin of the american museum of natural history,1699.0
bulletin of the atomic scientists,432.0
bulletin of the mizunami fossil museum,64.0
bulletin of the museum of comparative zoology,292.0
bulletin of the peabody museum of natural history,150.0
bulletin of the torrey botanical club,315.0
bulletin of the united states geological survey,45.0
bulletin of the world health organization,373.0
bulletin of volcanology,316.0
bulletins of american paleontology,979.0
buses,124.0
c r acad sci,44.0
ca,64.0
cahiers du monde russe,60.0
cainozoic research,43.0
canadian journal of botany,471.0
canadian journal of earth sciences,730.0
canadian journal of zoology,601.0
canadian medical association journal,522.0
canadian monarchist news,94.0
canadian slavonic papers  revue canadienne des slavistes,14.0
cancer,727.0
cancer biology  therapy,95.0
cancer cell,338.0
cancer epidemiology biomarkers  prevention,184.0
cancer lett,158.0
cancer letters,208.0
cancer metastasis reviews,59.0
cancer res,1236.0
cancer research,1546.0
carbon,219.0
carcinogenesis,364.0
cardiovascular research,187.0
career development quarterly,4.0
carnets de gxe9ologie,38.0
cash box,229.0
cat news,325.0
caucasian entomological bulletin,102.0
ccm magazine,322.0
cdsadc collection of electronic catalogues,321.0
celestial mechanics and dynamical astronomy,67.0
cell,9189.0
cell calcium,85.0
cell cycle,444.0
cell death and differentiation,190.0
cell death differ,139.0
cell growth  differentiation,71.0
cell growth differ,70.0
cell metabolism,274.0
cell mol life sci,216.0
cell reports,381.0
cell res,86.0
cell research,177.0
cell signal,133.0
cell stem cell,247.0
cell stress  chaperones,39.0
cellular and molecular life sciences,501.0
cellular signalling,181.0
central european history,135.0
cephalalgia,153.0
cerebral cortex,327.0
cern courier,210.0
chartsplus,143.0
chem commun,195.0
chem phys lett,68.0
chem rev,414.0
chembiochem,193.0
chemical  engineering news,516.0
chemical communications,507.0
chemical geology,214.0
chemical physics,84.0
chemical physics letters,354.0
chemical reviews,1154.0
chemical science,126.0
chemical society reviews,379.0
chemische berichte,188.0
chemistry  biology,304.0
chemistry a european journal,162.0
chemistry letters,78.0
chemistry of materials,240.0
chemistry u2013 a european journal,87.0
chemosphere,288.0
cheri,15.0
chest,652.0
chicago daily tribune,77.0
chicago tribune,284.0
child abuse  neglect,142.0
child development,621.0
chinese science bulletin,174.0
chirality,72.0
chiropractic  osteopathy,32.0
choice,87.0
chronicles of oklahoma,101.0
circ res,153.0
circulation,1782.0
circulation research,597.0
cladistics,507.0
classical and quantum gravity,279.0
clays and clay minerals,40.0
climacteric,245.0
climate of the past,48.0
climatic change,300.0
clin cancer res,369.0
clin endocrinol,72.0
clin genet,160.0
clin orthop relat res,91.0
clinical cancer research,581.0
clinical genetics,225.0
clinical infectious diseases,795.0
clinical microbiology reviews,452.0
clinical pharmacokinetics,170.0
clinical psychology review,318.0
cmaj,335.0
cns drugs,275.0
cochrane database of systematic reviews,1125.0
cochrane database syst rev,578.0
coffin corner,655.0
cognition,393.0
cold spring harbor perspectives in biology,269.0
cold spring harbor symposia on quantitative biology,136.0
columbia law review,267.0
communications biology,108.0
communications in mathematical physics,255.0
communications of the acm,944.0
communications of the geological survey of namibia,26.0
complementary therapies in medicine,50.0
composites part b engineering,37.0
comptes rendus de lacadxe9mie des sciences,197.0
comptes rendus geoscience,43.0
comptes rendus hebdomadaires des sxe9ances de lacadxe9mie des sciences,218.0
comptes rendus palevol,345.0
computer gaming world,798.0
computers in human behavior,279.0
conchologische mittheilungen,15.0
conchylia,36.0
condor,466.0
congressional record,159.0
conservation biology,616.0
contraception,563.0
contribuciones del museo argentino de ciencias naturales bernardino rivadavia,14.0
coordination chemistry reviews,188.0
copeia,1166.0
counselor education  supervision,4.0
counselor education and supervision,14.0
crash,199.0
cretaceous research,1984.0
cricket a weekly record of the game,23.0
crocodile specialist group newsletter,23.0
curr biol,881.0
curr hiv res,48.0
curr opin cell biol,125.0
current anthropology,625.0
current biology,3025.0
current directions in psychological science,389.0
current opinion in allergy and clinical immunology,88.0
current opinion in biotechnology,167.0
current opinion in cell biology,234.0
current opinion in chemical biology,189.0
current opinion in genetics  development,223.0
current opinion in microbiology,200.0
current opinion in neurobiology,279.0
current opinion in neurology,98.0
current opinion in plant biology,129.0
current opinion in psychiatry,112.0
current opinion in pulmonary medicine,58.0
current opinion in structural biology,274.0
current pharmaceutical design,264.0
current psychiatry reports,120.0
current science,601.0
cytogenet cell genet,589.0
cytogenetics and cell genetics,354.0
cytokine,132.0
dalton transactions,173.0
descent,99.0
deutsche entomologische zeitschrift,156.0
dev biol,210.0
dev cell,197.0
development,1215.0
developmental biology,544.0
developmental cell,370.0
developmental dynamics,187.0
developmental medicine  child neurology,130.0
developmental psychology,509.0
diabetes,593.0
diabetes care,518.0
diabetologia,284.0
dialogues in clinical neuroscience,107.0
diamond and related materials,56.0
die bundesbahn,91.0
die naturwissenschaften,147.0
dionysius,14.0
dipterists digest,85.0
diversity,61.0
dna and cell biology,122.0
dna cell biol,192.0
dna repair,101.0
dna repair amst,98.0
dna res,1121.0
dna research,487.0
doctor who classic comics,40.0
doctor who magazine,298.0
doctor who poster magazine,8.0
doklady biological sciences,52.0
dragon,1347.0
drug discovery today,234.0
drugs,610.0
ear and hearing,53.0
earth and environmental science transactions of the royal society of edinburgh,285.0
earth and planetary science letters,1081.0
earth moon and planets,88.0
earth planet sci lett,43.0
earthscience reviews,340.0
eating and weight disorders,15.0
ebony,280.0
ecologica montenegrina,50.0
ecological applications,258.0
ecological economics,275.0
ecology,1102.0
ecology and evolution,255.0
ecology letters,315.0
econometrica,833.0
economic and political weekly,854.0
education,26.0
efsa journal,266.0
eisenbahnrevue international,141.0
eisenbahntechnische rundschau,97.0
el paxeds,307.0
el tiempo colombia,167.0
eldiarioes,85.0
electronic gaming monthly,736.0
electronics,62.0
electrophoresis,286.0
elife,672.0
embo j,2247.0
embo rep,420.0
embo reports,554.0
emerging infectious diseases,793.0
emotion,176.0
emu,709.0
endangered species research,69.0
endocr rev,120.0
endocrine reviews,199.0
endocrinerelated cancer,89.0
endocrinology,947.0
energy policy,308.0
entertainment weekly,1198.0
entomoinfo,3.0
entomologica fennica,30.0
entomological review,94.0
entomological science,77.0
entomologische blxe4tter und coleoptera,2.0
environ health perspect,254.0
environ sci technol,141.0
environmental biology of fishes,442.0
environmental entomology,210.0
environmental health perspectives,846.0
environmental microbiology,339.0
environmental research letters,214.0
environmental science  technology,662.0
epilepsia,382.0
epilepsy  behavior,130.0
episodes,139.0
epl,77.0
equine veterinary journal,106.0
estonian journal of earth sciences,31.0
ethnomusicology,153.0
ethology,262.0
eugenics review,22.0
eukaryotic cell,116.0
eur j biochem,1040.0
eur j contracept reprod health care,34.0
eur j hum genet,269.0
eur j immunogenet,26.0
eur j immunol,269.0
eur j neurosci,136.0
eur j pharmacol,297.0
eur spine j,35.0
euroasian entomological journal,108.0
european eating disorders review,32.0
european heart journal,304.0
european journal of applied physiology,83.0
european journal of biochemistry,642.0
european journal of biochemistry  febs,280.0
european journal of cell biology,85.0
european journal of entomology,107.0
european journal of human genetics,807.0
european journal of immunology,323.0
european journal of neurology,111.0
european journal of personality,88.0
european journal of pharmacology,781.0
european journal of physics,108.0
european journal of social psychology,185.0
european journal of taxonomy,144.0
european respiratory review,33.0
european urology,161.0
europeasia studies,299.0
evidencebased complementary and alternative medicine,145.0
evolution,1392.0
evolution  development,126.0
evolution and human behavior,248.0
evolution international journal of organic evolution,133.0
evolutionary anthropology,122.0
exhibitors herald,1121.0
exp cell res,427.0
experimental cell research,416.0
experimental hematology,94.0
expert opinion on pharmacotherapy,159.0
expert review of neurotherapeutics,127.0
expert review of respiratory medicine,39.0
eye lond,17.0
f1000research,150.0
facets,18.0
far eastern entomologist,64.0
faseb j,395.0
faseb journal,444.0
fauna of new zealand,606.0
febs j,118.0
febs lett,1830.0
febs letters,1796.0
feminist economics,270.0
fems microbiology letters,440.0
fems microbiology reviews,230.0
fertil steril,311.0
fertility and sterility,492.0
field artillery journal,42.0
flight,1777.0
flight international,3201.0
folia heyrovskyana series a,4.0
folia primatologica,170.0
folklore,462.0
food and chemical toxicology,248.0
foreign affairs,671.0
forensic science international,421.0
forensic science international genetics,146.0
forensic science international genetics supplement series,29.0
forest and stream,54.0
forktail,239.0
fossil imprint,27.0
fossil record,151.0
foundations of physics,242.0
foxtelfoxtel magazine,37.0
free radical biology  medicine,166.0
frontiers in bioscience,178.0
frontiers in earth science,54.0
frontiers in ecology and evolution,100.0
frontiers in ecology and the environment,175.0
frontiers in genetics,117.0
frontiers in immunology,312.0
frontiers in microbiology,473.0
frontiers in neuroscience,160.0
frontiers in plant science,211.0
frontiers in psychology,464.0
frontiers in systems neuroscience,63.0
functional ecology,228.0
fungal biology,230.0
fungal diversity,384.0
g3,33.0
gaceta de la repxfablica,3.0
gaceta de madrid,294.0
gaia,55.0
game informer,517.0
gamepro,498.0
gastroenterology,846.0
gene,4622.0
gene therapy,103.0
general relativity and gravitation,137.0
genes,68.0
genes  development,1265.0
genes cells,197.0
genes chromosomes  cancer,97.0
genes chromosomes cancer,127.0
genes dev,968.0
genes to cells,144.0
genesis,91.0
genetica,171.0
genetics,1468.0
genome,119.0
genome biol,541.0
genome biology,817.0
genome biology and evolution,320.0
genome res,7275.0
genome research,2196.0
genomics,4872.0
geobiology,81.0
geobios,355.0
geochemistry geophysics geosystems,281.0
geochimica et cosmochimica acta,551.0
geoderma,112.0
geodiversitas,223.0
geologica acta,50.0
geologica belgica,46.0
geologica carpathica,26.0
geological bulletin of china,50.0
geological journal,134.0
geological magazine,538.0
geological society london special publications,360.0
geological society of america bulletin,523.0
geology,1268.0
geomorphology,320.0
geophys res lett,221.0
geophysical journal international,336.0
geophysical research letters,1434.0
geosciences,40.0
german studies review,90.0
gff,111.0
gifted child quarterly,34.0
gigascience,184.0
giornale italiano di entomologia,12.0
global and planetary change,177.0
global biogeochemical cycles,111.0
global change biology,227.0
global geology,36.0
glycobiology,378.0
gondwana research,377.0
gramophone,150.0
grana,59.0
great eastern journal,239.0
gsa bulletin,188.0
gsa today,99.0
gut,558.0
gxe9otechnique,115.0
gynecol endocrinol,101.0
haematologica,209.0
handes amsorya,23.0
hansard,196.0
hansard house of commons debates,171.0
harvard law review,384.0
harvard ukrainian studies,67.0
head  neck,51.0
headache,136.0
health affairs,343.0
health psychology,111.0
health technology assessment,63.0
hearing research,145.0
heart,211.0
helvetica chimica acta,211.0
hepatology,474.0
heredity,407.0
herpetologica,352.0
hippocampus,138.0
histochemistry and cell biology,90.0
historical biology,416.0
historical biology an international journal of paleobiology,470.0
history reviews of new books,48.0
hong kong government gazette,86.0
horm res,67.0
hormones and behavior,290.0
howey politics indiana,62.0
hum genet,587.0
hum immunol,175.0
hum mol genet,1215.0
hum mutat,360.0
hum reprod,147.0
hum reprod update,77.0
human biology,230.0
human brain mapping,120.0
human genetics,841.0
human molecular genetics,1335.0
human mutation,578.0
human performance,26.0
human reproduction,317.0
human reproduction update,456.0
human resource management review,26.0
hypertension,312.0
iawa journal,31.0
iberus,33.0
ibis,1196.0
icarus,2062.0
ichthyological exploration of freshwaters,125.0
ieee j quantum electron,11.0
ieee transactions on antennas and propagation,110.0
ieee transactions on magnetics,137.0
ieee transactions on microwave theory and techniques,123.0
ieee transactions on power apparatus and systems,34.0
ieee transactions on power systems,54.0
immunity,678.0
immunogenetics,357.0
immunological reviews,216.0
index on censorship,157.0
india weather review,80.0
indian antiquary,8.0
indian birds,174.0
indian j ophthalmol,66.0
indiana magazine of history,338.0
infect immun,216.0
infection and immunity,480.0
information bulletin on variable stars,127.0
infoworld,370.0
inorganic chemistry,657.0
insect science,63.0
insect systematics  evolution,106.0
insecta mundi,129.0
insectes sociaux,408.0
insects,65.0
inside soap,2642.0
int j biochem cell biol,179.0
int j cancer,419.0
int j mol med,134.0
int j oncol,152.0
integrative and comparative biology,475.0
intelligence,354.0
international affairs,300.0
international immunology,92.0
international journal for parasitology,237.0
international journal for the advancement of counseling,2.0
international journal for the advancement of counselling,11.0
international journal of american linguistics,426.0
international journal of astrobiology,158.0
international journal of audiology,61.0
international journal of behavioral consultation and therapy,43.0
international journal of cancer,565.0
international journal of cardiology,155.0
international journal of chronic obstructive pulmonary disease,25.0
international journal of clinical practice,93.0
international journal of environmental research and public health,303.0
international journal of epidemiology,285.0
international journal of geriatric psychiatry,57.0
international journal of legal medicine,127.0
international journal of mass spectrometry,101.0
international journal of modern physics d,58.0
international journal of molecular medicine,102.0
international journal of molecular sciences,349.0
international journal of oncology,135.0
international journal of plant sciences,428.0
international journal of play therapy,22.0
international journal of primatology,432.0
international journal of radiation oncology biology physics,80.0
international journal of radiation oncologybiologyphysics,55.0
international journal of selection and assessment,44.0
international journal of systematic and evolutionary microbiology,5181.0
international journal of systematic bacteriology,794.0
international labor and workingclass history,53.0
international microbiology,54.0
international psychogeriatrics,32.0
international security,271.0
invertebrate zoology,17.0
invest ophthalmol vis sci,259.0
investigative ophthalmology  visual science,313.0
iscience,23.0
isis,709.0
iubmb life,201.0
j a s beng,21.0
j am acad orthop surg,24.0
j am chem soc,2022.0
j am coll cardiol,192.0
j am soc mass spectrom,53.0
j appl phys,101.0
j appl physiol,177.0
j bacteriol,862.0
j biochem,353.0
j bombay nat hist soc,782.0
j bone joint surg,15.0
j cell biochem,247.0
j cell biol,1514.0
j cell physiol,178.0
j cell sci,863.0
j cetacean res manage,16.0
j chem phys,371.0
j clin endocrinol metab,776.0
j clin invest,720.0
j clin microbiol,330.0
j clin oncol,259.0
j comp neurol,187.0
j exp med,581.0
j gen virol,154.0
j geophys res,401.0
j geophys res planets,16.0
j histochem cytochem,113.0
j hum genet,194.0
j immunol,1148.0
j infect dis,232.0
j invest dermatol,370.0
j leukoc biol,148.0
j lipid res,216.0
j med chem,379.0
j med genet,343.0
j mol biol,1312.0
j mol med,78.0
j neurochem,343.0
j neurol neurosurg psychiatry,254.0
j neurophysiol,181.0
j neurosci,871.0
j neurosurg,101.0
j org chem,539.0
j pediatr ophthalmol strabismus,15.0
j pharmacol exp ther,397.0
j phys chem,114.0
j physiol,270.0
j proteome res,243.0
j spinal disord,10.0
j spinal disord tech,12.0
j steroid biochem mol biol,258.0
j urol,222.0
j virol,870.0
jahrbxfccher der deutschen malakozoologischen gesellschaft,19.0
jahrbxfccher fxfcr geschichte osteuropas,36.0
jama,2645.0
jama internal medicine,215.0
jama pediatrics,96.0
jama the journal of the american medical association,336.0
japanese journal of applied physics,126.0
jcr,84.0
jesus college newsletter,22.0
jesus college record,85.0
jet,840.0
jour bengal nat hist soc,4.0
journal for specialists in group work,5.0
journal fxfcr die reine und angewandte mathematik,119.0
journal of abnormal psychology,277.0
journal of acquired immune deficiency syndromes,109.0
journal of affective disorders,337.0
journal of african earth sciences,276.0
journal of agricultural and food chemistry,928.0
journal of alternative and complementary medicine,56.0
journal of alzheimers disease,131.0
journal of anatomy,406.0
journal of animal ecology,343.0
journal of animal science,174.0
journal of applied behavior analysis,138.0
journal of applied physics,707.0
journal of applied physiology,446.0
journal of applied psychology,448.0
journal of applied social psychology,175.0
journal of archaeological science,644.0
journal of asian earth sciences,185.0
journal of autism and developmental disorders,232.0
journal of avian biology,209.0
journal of bacteriology,1688.0
journal of biblical literature,240.0
journal of biochemistry,353.0
journal of biogeography,479.0
journal of biological chemistry,30200.0
journal of biomedical semantics,43.0
journal of biomolecular nmr,79.0
journal of bone and mineral research,187.0
journal of business and psychology,46.0
journal of cell science,930.0
journal of cellular biochemistry,228.0
journal of cellular physiology,236.0
journal of cetacean research and management,67.0
journal of chemical ecology,431.0
journal of chemical education,935.0
journal of chromatography a,289.0
journal of climate,333.0
journal of clinical investigation,349.0
journal of clinical microbiology,723.0
journal of clinical oncology,598.0
journal of clinical periodontology,98.0
journal of clinical psychopharmacology,149.0
journal of clinical sleep medicine,72.0
journal of cognitive neuroscience,291.0
journal of comparative physiology a,203.0
journal of comparative psychology,196.0
journal of computational biology,58.0
journal of conchology,111.0
journal of consulting and clinical psychology,345.0
journal of consumer research,228.0
journal of contemporary history,518.0
journal of cosmology and astroparticle physics,129.0
journal of counseling  development,70.0
journal of counseling and development,20.0
journal of counselor preparation and supervision,3.0
journal of crustacean biology,351.0
journal of dairy science,269.0
journal of ecology,332.0
journal of economic entomology,329.0
journal of economic literature,257.0
journal of economic theory,215.0
journal of endodontics,114.0
journal of evolutionary biology,438.0
journal of experimental biology,891.0
journal of experimental botany,346.0
journal of experimental psychology,232.0
journal of experimental psychology general,221.0
journal of experimental psychology human perception and performance,194.0
journal of experimental psychology learning memory and cognition,273.0
journal of experimental social psychology,376.0
journal of experimental zoology,159.0
journal of field ornithology,175.0
journal of fish biology,533.0
journal of forensic sciences,260.0
journal of general virology,206.0
journal of geophysical research,1588.0
journal of geophysical research atmospheres,173.0
journal of geophysical research planets,204.0
journal of geophysical research solid earth,319.0
journal of glaciology,172.0
journal of gravitational physiology  a journal of the international society for gravitational physiology,5.0
journal of hepatology,142.0
journal of herpetology,493.0
journal of high energy physics,336.0
journal of hispanic higher education,10.0
journal of homosexuality,259.0
journal of human evolution,971.0
journal of human genetics,353.0
journal of humanistic counseling education and development,4.0
journal of hymenoptera research,100.0
journal of hypertension,84.0
journal of iberian geology,63.0
journal of immunology,1385.0
journal of individual psychology,21.0
journal of inherited metabolic disease,171.0
journal of insect physiology,219.0
journal of interdisciplinary history,137.0
journal of leukocyte biology,230.0
journal of lipid research,330.0
journal of liquid chromatography  related technologies,19.0
journal of mammalian evolution,319.0
journal of mammalogy,1531.0
journal of management,108.0
journal of manipulative and physiological therapeutics,58.0
journal of mass spectrometry,104.0
journal of materials chemistry,142.0
journal of materials science,137.0
journal of medical genetics,532.0
journal of medicinal chemistry,1399.0
journal of micropalaeontology,29.0
journal of molecular and cellular cardiology,184.0
journal of molecular biology,1799.0
journal of molecular endocrinology,82.0
journal of molecular evolution,405.0
journal of molecular medicine,108.0
journal of molecular spectroscopy,86.0
journal of molluscan studies,738.0
journal of morphology,382.0
journal of muscle research and cell motility,60.0
journal of natural history,1117.0
journal of neurochemistry,521.0
journal of neurology,208.0
journal of neurology neurosurgery and psychiatry,302.0
journal of neurophysiology,422.0
journal of neuroscience,607.0
journal of neuroscience research,152.0
journal of neurosurgery,269.0
journal of occupational health psychology,52.0
journal of organic chemistry,239.0
