journal_name;area
Acta Biologiae Experimentalis;HS
Acta Biologica Academiae Scientiarum Hungaricae;LS
Acta Biologica Benrodis;PS
Acta Biologica Colombiana;LS
Acta Biologica Cracoviensia Series Botanica;LS
Acta Biologica Cracoviensia Series Zoologia;LS
Acta Biologica et Medica Germanica;HS
Acta Biologica Hungarica;LS & PS
Acta Biologica Sibirica;LS & PS
Acta Biologica Szegediensis;LS
Acta Biomaterialia;LS, PS & HS
Acta Biomedica;HS
Acta Biomedica Scientifica;LS
Acta Bioquimica Clinica Latinoamericana;LS
Acta Biotechnologica;LS & PS
Acta Biotheoretica;Multi
Acta Borealia;SSH
Acta Botanica Brasilica;LS
Acta Botanica Croatica;LS
Acta Botanica Fennica;LS
Acta Botanica Gallica;LS
Acta Botanica Hungarica;LS
Acta Botanica Malacitana;PS
Acta Botanica Mexicana;LS
Acta Botanica Neerlandica;LS
Acta Botanica Sinica;LS
Acta Botanica Venezuelica;LS
Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a;HS
Acta Cardiologica;HS
Acta Cardiologica Sinica;HS
Acta Cardiomiologica;HS
Acta Carsologica;PS
Acta Chemica Scandinavica;HS
Acta Chemica Scandinavica;PS
Acta chemica Scandinavica. Series A: Physical and inorganic chemistry;HS
Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry;HS
Acta Chimica Academiae Scientiarum Hungaricae;HS
Acta Chimica Hungarica;PS
Acta Chimica Sinica;PS
Acta Chimica Sinica English Edition;PS
Acta Chimica Slovenica;PS
Acta Chiropterologica;LS
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;HS
Acta Chirurgiae Plasticae;HS
Acta Chirurgica Academiae Scientiarum Hungaricae;HS
Acta Chirurgica Austriaca;HS
Acta Chirurgica Belgica;HS
Acta Chirurgica Hungarica;HS
Acta Chirurgica Italica;HS
Acta chirurgica Iugoslavica;HS
Acta chirurgica Patavina;HS
Acta Chirurgica Scandinavica;HS
Acta Chirurgica Scandinavica, Supplement;HS
Acta Chromatographica;PS
Acta Cientifica Venezolana;LS & PS
Acta Cirurgica Brasileira;HS
Acta Classica;SSH
Acta Clinica Belgica;HS
Acta clinica Belgica. Supplementum;HS
Acta Clinica Croatica;HS
Acta Clinica Croatica, Supplement;HS
Acta Colombiana de Psicologia;SSH & HS
Acta Comeniana;SSH
Acta Commercii;SSH
Acta Comportamentalia;SSH
Acta Conventus Neo-Latini;SSH
Acta Criminologiae et Medicinae Legalis Japonica;HS
Acta Crystallographica;PS
Acta Crystallographica Section A: Foundations and Advances;LS & PS
Acta Crystallographica Section A: Foundations of Crystallography;LS
Acta Crystallographica Section B: Structural Science;LS & HS
Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials;PS
Acta Crystallographica Section C: Crystal Structure Communications;LS & HS
Acta Crystallographica Section D: Biological Crystallography;LS & HS
Acta Crystallographica Section D: Structural Biology;LS
Acta Crystallographica Section E: Crystallographic Communications;PS
Acta Crystallographica Section E: Structure Reports Online;PS
Acta Crystallographica Section F: Structural Biology and Crystallization Communications;LS & PS
Acta Crystallographica Section F: Structural Biology Communications;LS & PS
Acta Crystallographica. Section B: Structural Crystallography and Crystal Chemistry;HS
Acta Crystallographica. Section C, Structural Chemistry;PS
Acta Cybernetica;SSH & PS
Acta Cytologica;HS
Acta Dermatologica;HS
Acta dermatologica-Kyoto. English edition;HS
Acta Dermato-Venereologica;HS
Acta Dermato-Venereologica, Supplement;HS
Acta Dermatovenerologica Alpina, Panonica et Adriatica;HS
Acta Dermatovenerologica Croatica;HS
Acta Dermatovenerologica Iugoslavica;HS
Acta Diabetologica;LS & HS
Acta Diabetologica Latina;LS & HS
Acta Didactica Norden;SSH
Acta Didactica Norge;SSH
Acta Ecologica Sinica;LS & PS
Acta Ecologica Sinica;LS & PS
Acta Embryologiae et Morphologiae Experimentalis;LS & HS
Acta embryologiae et morphologiae experimentalis;HS
Acta Embryologiae Experimentalis;HS
Acta Endocrinologica;LS & HS
Acta Endocrinologica;LS
Acta endocrinologica Iberica;HS
Acta Endocrinologica, Supplement;LS
Acta Endoscopica;HS
Acta Endoscopica et Radiocinematographica;HS
Acta Endoscopica Polona;HS
Acta Entomologica Musei Nationalis Pragae;LS
Acta Entomologica Sinica;PS
Acta Epileptologica;LS & HS
Acta et Commentationes Universitatis Tartuensis de Mathematica;PS
Acta Ethnographica Hungarica;SSH
Acta Ethologica;LS
Acta Facultatis Medicae Fluminensis;HS
Acta Facultatis Medicae Naissensis;HS
Acta Facultatis Pharmaceuticae Universitatis Comenianae;LS & HS
Acta Facultatis Philosophicae Universitatis Ostravienis Studia Germanistica;SSH
Acta Facultatis Xylologiae;LS
Acta Farmaceutica Bonaerense;LS
Acta Forestalia Fennica;LS
Acta Fytotechnica et Zootechnica;LS
Acta Gastro-Enterologica Belgica;HS
Acta Gastroenterologica Latinoamericana;HS
Acta genetica et statistica medica;HS
Acta Geneticae Medicae et Gemellologiae;HS
Acta Geochimica;PS
Acta Geodaetica et Cartographica Sinica;PS
Acta Geodaetica et Geophysica;PS
Acta Geodaetica et Geophysica Hungarica;PS
Acta Geodaetica, Geophysica et Montanistica;PS
Acta Geodaetica, Geophysica et Montanistica Hungarica;PS
Acta Geodynamica et Geomaterialia;PS
Acta Geographica;SSH & PS
Acta Geographica Croatica;SSH & PS
Acta Geographica Lodziensia;SSH & PS
Acta Geographica Lovaniensia;PS
Acta Geographica Sinica;SSH & PS
Acta Geographica Slovenica;SSH & PS
Acta Geographica Universitatis Comenianae;SSH & PS
Acta Geologica Hispanica;PS
Acta Geologica Hungarica;PS
Acta Geologica Polonica;PS
Acta Geologica Sinica;PS
Acta Geologica Slovaca;PS
Acta Geophysica;PS
Acta Geophysica Polonica;PS
Acta Geophysica Sinica;PS
Acta Geoscientica Sinica;PS
Acta Geotechnica;PS
Acta Geotechnica Slovenica;PS
Acta Ginecologica;HS
Acta Gymnica;HS
Acta gynaecologica et obstetrica Hispano-Lusitana;HS
Acta Haematologica;HS
Acta Haematologica Polonica;HS
Acta Hepato-Gastroenterologica;HS
Acta hepatologica;HS
Acta Hepatologica Japonica;HS
Acta hepato-splenologica;HS
Acta Herpetologica;LS
Acta Histochemica;LS & HS
Acta Histochemica et Cytochemica;LS & HS
Acta Historiae Artis Slovenica;SSH
Acta Historiae Artium;SSH
Acta historica Leopoldina;HS
Acta historica scientiarum naturalium et medicinalium;HS
Acta Historica Tallinnensia;SSH
Acta Historica Universitatis Klaipedensis;SSH
Acta Histriae;SSH
Acta Horticulturae;LS
Acta Horticulturae Sinica;LS
Acta Hospitalia;HS
Acta Hydrobiologica Sinica;LS & PS
Acta Hydrochimica et Hydrobiologica;LS & PS
Acta Hydrologica Slovaca;PS
Acta Hydrotechnica;PS
Acta Ichthyologica et Piscatoria;LS
Acta IMEKO;PS
Acta Informatica;PS
Acta Informatica Medica;HS
Acta Informatica Pragensia;SSH & PS
Acta Innovations;PS
Acta Juridica Hungarica;SSH
Acta Koreana;SSH
Acta Leidensia;HS
Acta Leprologica;HS
Acta Limnologica Brasiliensia;LS & PS
Acta Linguistica Academica;SSH
Acta Linguistica Asiatica;SSH
Acta Linguistica Hafniensia;SSH
Acta Linguistica Hungarica;SSH
Acta Linguistica Lithuanica;SSH
Acta Linguistica Petropolitana;SSH
Acta Literaria;SSH
Acta Logistica;SSH & PS
Acta Marisiensis - Seria Medica;LS & HS
Acta Materialia;PS
Acta Mathematica;PS
Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis;SSH & PS
Acta Mathematica Academiae Scientiarum Hungaricae;PS
Acta Mathematica Hungarica;PS
Acta Mathematica Scientia;PS
Acta Mathematica Sinica;PS
Acta Mathematica Sinica, Chinese Series;PS
Acta Mathematica Sinica, English Series;PS
Acta Mathematica Universitatis Comenianae;PS
Acta Mathematica Vietnamica;PS
Acta Mathematicae Applicatae Sinica;PS
Acta Mechanica;PS
Acta Mechanica et Automatica;PS
Acta Mechanica Sinica/Lixue Xuebao;PS
Acta Mechanica Solida Sinica;PS
Acta medica (Hradec Kralove);HS
Acta medica (Hradec Kralove). Supplementum;HS
Acta Medica Academiae Scientiarum Hungaricae;HS
Acta medica academica;HS
Acta Medica Austriaca;HS
Acta medica Austriaca. Supplement;HS
Acta Medica Auxologica;HS
Acta Medica Bulgarica;HS
Acta Medica Croatica;HS
Acta Medica Dominicana;HS
Acta Medica et Biologica;LS
Acta Medica Hungarica;HS
Acta medica Indonesiana;HS
Acta Medica Iranica;HS
Acta medica Italica di malattie infettive e parassitarie;HS
Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia;HS
Acta Medica Iugoslavica;HS
Acta Medica Lituanica;HS
Acta Medica Mediterranea;HS
Acta Medica Nagasakiensia;HS
Acta Medica Okayama;LS & HS
Acta medica Orientalia;HS
Acta Medica Philippina;HS
Acta Medica Portuguesa;HS
Acta Medica Romana;HS
Acta Medica Saliniana;HS
Acta Medica Scandinavica;HS
Acta Medica Scandinavica, Supplement;HS
Acta medicinae Okayama;HS
Acta Metallurgica;PS
Acta Metallurgica et Materialia;PS
Acta Metallurgica Sinica (English Letters);PS
Acta Metallurgica Sinica Series A, Physical Metallurgy & Materials Science;PS
Acta Metallurgica Sinica Series B, Process Metallurgy & Miscellaneous;PS
Acta Metallurgica Slovaca;PS
Acta Meteorologica Sinica;PS
Acta Meteorological Sinica (English Edition);PS
Acta Microbiologica Academiae Scientiarum Hungaricae;HS
Acta Microbiologica Bulgarica;LS
Acta Microbiologica et Immunologica;LS & HS
Acta Microbiologica Hellenica;HS
Acta Microbiologica Hungarica;LS & HS
Acta Microbiologica Polonica;LS
Acta microbiologica Polonica. Series A: Microbiologia generalis;HS
Acta microbiologica Polonica. Series B: Microbiologia applicata;HS
Acta Microscopica;PS & HS
Acta Montanistica Slovaca;PS
Acta Morphologica Academiae Scientiarum Hungaricae;HS
Acta Morphologica Hungarica;HS
Acta Morphologica Neerlando-Scandinavica;HS
Acta Mozartiana;SSH
Acta Musei Moraviae, Scientiae Geologicae;PS
Acta Musei Nationalis Pragae, Series B - Historia Naturalis;SSH
Acta Musicologica;SSH
Acta Mycologica;LS
Acta Myologica;HS
Acta Naturae;LS
Acta Naturalia de l'Ateneo Parmense;PS
Acta Neerlandica morphologiae normalis et pathologicae;HS
Acta Neonatologica Japonica;HS
Acta Neophilologica;SSH
Acta Neurobiologiae Experimentalis;LS & HS
Acta Neurochirurgica;HS
Acta Neurochirurgica, Supplement;HS
Acta Neurologica Belgica;HS
Acta neurologica et psychiatrica Belgica;HS
Acta Neurologica Scandinavica;LS & HS
Acta Neurologica Scandinavica, Supplement;HS
Acta Neurologica Taiwanica;LS & HS
Acta Neuropathologica;LS & HS
Acta Neuropathologica Communications;LS & HS
Acta Neuropsychiatrica;LS & HS
Acta Neuropsychologica;SSH
Acta neurovegetativa;LS & HS
Acta Numerica;PS
Acta Obstetrica et Gynaecologica Japonica;HS
Acta Obstetrica y Ginecologica Hispano-Lusitana;HS
Acta Obstetricia et Gynecologica Scandinavica;HS
Acta Obstetricia et Gynecologica Scandinavica, Supplement;HS
Acta Oceanologica Sinica;LS & PS
Acta odontologica latinoamericana : AOL;HS
Acta Odontologica Scandinavica;HS
Acta Oecologica;LS & PS
Acta Oecologica, Oecologia Plantarum;PS
Acta Oecologica/Oecologia Applicata;PS
Acta Oecologica/Oecologia Generalis;PS
Acta Oeconomica;SSH
Acta of Bioengineering and Biomechanics;LS & PS
Acta Oncologica;HS
Acta Oncologica, Supplement;LS & HS
Acta Onomastica;SSH
Acta Ophthalmologica;HS
Acta Ophthalmologica;HS
Acta Ophthalmologica Scandinavica;HS
Acta Ophthalmologica Scandinavica, Supplement;HS
Acta Ophthalmologica. Supplement;HS
Acta Orientalia;SSH
Acta Ornithologica;LS
Acta Orthopaedica;HS
Acta Orthopaedica Belgica;HS
Acta Orthopaedica et Traumatologica Turcica;HS
Acta Orthopaedica Iugoslavica;HS
Acta Orthopaedica Scandinavica;HS
Acta Orthopaedica Scandinavica, Supplement;HS
Acta orthopaedica. Supplementum;HS
Acta Ortopedica Brasileira;HS
Acta ortopédica mexicana;HS
Acta Oto-Laryngologica;HS
Acta Oto-Laryngologica, Supplement;HS
Acta Oto-Rhino-Laryngologica Belgica;HS
Acta Otorhinolaryngologica Italica;HS
Acta Otorhinolaryngologica Italica, Supplement;HS
Acta oto-rino-laringologica ibero-americana;HS
Acta Otorrinolaringologica Espanola;HS
Acta Paedagogica Vilnensia;SSH
Acta Paediatrica Academiae Scientiarum Hungaricae;HS
Acta Paediatrica Belgica;HS
Acta Paediatrica Hungarica;HS
Acta Paediatrica Japonica;HS
Acta Paediatrica Scandinavica;HS
Acta Paediatrica Scandinavica, Supplement;HS
Acta Paediatrica Sinica;HS
Acta Paediatrica Taiwanica;HS
Acta Paediatrica, International Journal of Paediatrics;HS
Acta Paediatrica, International Journal of Paediatrics, Supplement;HS
Acta paediatrica. Supplementum;HS
Acta Paedopsychiatrica;HS
Acta Palaeobotanica;LS & PS
Acta Palaeontologica Polonica;PS
Acta Palaeontologica Romaniae;LS & PS
Acta Parasitologica;LS
Acta Parasitologica Polonica;LS
Acta pathologica et microbiologica Scandinavica;HS
Acta Pathologica et Microbiologica Scandinavica - Section A Pathology;HS
Acta Pathologica et Microbiologica Scandinavica - Section B Microbiology and Immunology;HS
Acta Pathologica et Microbiologica Scandinavica - Section C Immunology;HS
Acta Pathologica Japonica;HS
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section A Pathology;LS & HS
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section B Microbiology;LS & HS
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section C Immunology;LS & HS
Acta Pathologica Microbiologica et Immunologica Scandinavica - Supplementum;HS
Acta Paulista de Enfermagem;HS
Acta Pediatrica de Mexico;HS
Acta Pediatrica Espanola;HS
Acta Pedologica Sinica;LS
Acta Periodica Technologica;PS
Acta Petrologica Sinica;PS
Acta Pharmaceutica;LS & HS
Acta Pharmaceutica Fennica;LS
Acta Pharmaceutica Hungarica;LS & HS
Acta Pharmaceutica Jugoslavica;LS
Acta Pharmaceutica Nordica;LS
Acta Pharmaceutica Sciencia;LS
Acta Pharmaceutica Sinica B;LS
Acta Pharmaceutica Suecica;LS
Acta Pharmaceutica Technologica;LS
Acta Pharmaceutica Turcica;LS
Acta Pharmacologica et Toxicologica;LS
Acta Pharmacologica Sinica;LS & HS
Acta Philosophica;SSH
Acta Phlebologica;HS
Acta Physica Academiae Scientiarum Hungaricae;PS
Acta Physica Hungarica;PS
Acta Physica Hungarica, Series A: Heavy Ion Physics;PS
Acta Physica Hungarica, Series B: Quantum Electronics;PS
Acta Physica Polonica A;PS
Acta Physica Polonica B, Proceedings Supplement;PS
Acta Physica Polonica, Series B.;PS
Acta Physica Sinica (overseas Edition);PS
Acta Physica Slovaca;PS
Acta Physico - Chimica Sinica;PS
Acta Physiologiae Plantarum;LS
Acta Physiologica;LS
Acta Physiologica Academiae Scientiarum Hungaricae;LS
Acta Physiologica et Pharmacologica Bulgarica;LS
Acta Physiologica et Pharmacologica Latinoamericana;LS & HS
Acta physiologica et pharmacologica Neerlandica;HS
Acta Physiologica Hungarica;HS
Acta Physiologica Latino-Americana;LS
Acta Physiologica Pharmacologica et Therapeutica Latinoamericana;LS
Acta Physiologica Polonica;LS
Acta Physiologica Scandinavica;LS
Acta Physiologica Scandinavica, Supplement;LS
Acta Physiologica Sinica;HS
Acta physiotherapica et rheumatologica Belgica;HS
Acta Phytogeographica Suecica;LS
Acta Phytopathologica et Entomologica Hungarica;LS
Acta Phytotaxonomica et Geobotanica;LS & PS
Acta Phytotaxonomica Sinica;LS
Acta Poetica;SSH
Acta Politica;SSH
Acta Politologica;SSH
Acta Poloniae Historica;SSH
Acta Poloniae Pharmaceutica;LS
Acta Poloniae Toxicologica;LS
Acta Polymerica;PS
Acta Polymerica Sinica;PS
Acta Polytechnica;PS
Acta Polytechnica Hungarica;PS
Acta Polytechnica Scandinavica Mathematics and Computing Series;PS
Acta Polytechnica Scandinavica, Applied Physics Series;PS
Acta Polytechnica Scandinavica, Chemical Technology and Metallurgy Series;PS
Acta Polytechnica Scandinavica, Chemical Technology Series;PS
Acta Polytechnica Scandinavica, Chemistry Including Metallurgy Series;PS
Acta Polytechnica Scandinavica, Civil Engineering and Building Construction Series;PS
Acta Polytechnica Scandinavica, Electrical Engineering Series;PS
Acta Polytechnica Scandinavica, Mechanical Engineering Series;PS
Acta Prataculturae Sinica;LS & PS
Acta Protozoologica;LS
Acta Psiquiatrica y Psicologica de America Latina;HS
Acta Psychiatrica Belgica;HS
Acta psychiatrica et neurologica;HS
Acta psychiatrica et neurologica Scandinavica;HS
Acta psychiatrica et neurologica Scandinavica. Supplementum;HS
Acta psychiatrica et neurologica. Supplementum;HS
Acta Psychiatrica Scandinavica;HS
Acta Psychiatrica Scandinavica, Supplement;HS
Acta Psychologica;SSH & HS
Acta Psychologica Sinica;SSH
Acta psychotherapeutica et psychosomatica;HS
Acta Radiologica;HS
Acta Radiologica - Series Diagnosis;HS
Acta Radiologica - Series Therapy, Physics and Biology;HS
Acta radiologica et cancerologica. Bohemoslovencia;HS
Acta Radiologica Oncology;HS
Acta Radiologica, Supplement;HS
Acta Radiologica. Oncology Radiation Therapy Physics and Biology;HS
